cep;status
04877265;200
40140095;200
30451722;200
20535050;200
04877115;200
40140105;200
91755300;200
30451728;200
20535060;200
04877278;200
41299060;200
91755450;200
30530450;200
20535070;200
04877284;200
41299100;200
91755460;200
31998343;200
22755058;200
04236250;200
41299130;200
91755470;200
30514466;200
22755056;200
08475540;200
41299120;200
91755480;200
30514467;200
05183340;200
41299110;200
22753520;200
91755314;200
30514468;200
05183360;200
22765165;200
41311302;200
21531315;200
91755330;200
30451703;200
20535020;200
04951015;200
41311308;200
30451697;200
20535030;200
91450430;200
91450440;200
91540030;200
91450450;200
91540040;200
90090322;200
91780241;200
91780256;200
91780244;200
91780245;200
91780251;200
91780252;200
91780253;200
91780254;200
91780255;200
91787357;200
91787359;200
91787356;200
91787353;200
91787354;200
91787282;200
91787358;200
91787264;200
91712703;200
91420092;200
91420702;200
91430520;200
91420094;200
91420703;200
91430530;200
91420096;200
91420712;200
91430550;200
91420713;200
91430585;200
91420080;200
91420721;200
91420090;200
91420722;200
91420100;200
91270560;200
91260290;200
91140090;200
91220620;200
90200080;200
91250080;200
91180131;200
91270570;200
91796120;200
90810120;200
40070260;200
30580585;200
30514469;200
30622208;200
30622220;200
30622230;200
30622452;200
30626020;200
30855090;200
30855360;200
30855380;200
30855390;200
30855400;200
30664640;200
30664690;200
30664700;200
30664740;200
31615560;200
31615530;200
31615532;200
31615540;200
31615545;200
31615590;200
31615620;200
31615610;200
31615615;200
31998420;200
31998137;200
31998150;200
30662560;200
30660250;200
31170677;200
31310280;200
31620295;200
31170675;200
31960360;200
31950435;200
30555050;200
31035208;200
31035209;200
31744623;200
31744620;200
31998707;200
31742400;200
30640755;200
31980418;200
30628120;200
31748335;200
30535910;200
31070474;200
30535012;200
30660500;200
31070225;200
30850000;200
30850230;200
05183370;200
05183380;200
05183390;200
04891445;200
04891490;200
04891480;200
04891495;200
02323730;200
02323270;200
02323280;200
04922170;200
05320015;200
05892387;200
05892388;200
05857185;200
04872117;200
04872115;200
02858060;200
02858065;200
02857060;200
02857065;200
02857090;200
08121106;200
04894425;200
08320685;200
08320680;200
02360171;200
02360251;200
02360281;200
04852410;200
08382670;200
04874180;200
04874190;200
04874150;200
04874210;200
04874120;200
08142233;200
02680075;200
02680015;200
05823075;200
02203001;200
02203000;200
08260430;200
04065004;200
03370010;200
04065003;200
04065002;200
02996150;200
04856240;200
03108900;200
04065001;200
41260175;200
40733600;200
40733590;200
40733580;200
40733565;200
40733555;200
40733545;200
40733535;200
40733530;200
40733610;200
40731470;200
40731480;200
40731490;200
40731500;200
40733115;200
40330470;200
40330420;200
40330430;200
40330440;200
40323185;200
41640465;200
41640475;200
41502030;200
41370115;200
41370265;200
41370125;200
41370310;200
41370190;200
41370285;200
41370295;200
41370275;200
41370325;200
41231055;200
40370730;200
41611108;200
41218001;200
41218000;200
41218002;200
41205530;200
40060123;200
41342430;200
40328195;200
40343065;200
41192165;200
40025345;200
40355555;200
41930090;200
40365195;200
40365265;200
40230050;200
40320770;200
40220550;200
40340130;200
41219890;200
40430800;200
40335565;200
22765168;200
22753706;200
21830693;200
21842786;200
21854012;200
21853003;200
21830695;200
21842777;200
21854014;200
21853005;200
21830697;200
21842764;200
21853007;200
21842766;200
21853009;200
21842783;200
21854018;200
21853012;200
21842774;200
21875234;200
21853014;200
21842772;200
21853016;200
21842770;200
21853018;200
21842768;200
21842784;200
21842782;200
21842780;200
21842778;200
21842776;200
21843740;200
21331604;200
21331606;200
21331608;200
21331612;200
21331614;200
21042500;200
21042510;200
23062220;200
23066015;200
23548003;200
21863720;200
22775027;200
21941613;200
22723123;200
22620171;200
22620170;200
21941535;200
21615230;200
21941009;200
21941563;200
23548000;200
91320080;200
91215350;200
91040550;200
90460080;200
90240592;200
90230031;200
90460200;200
91280080;200
90240591;200
90230030;200
91050340;200
90230270;200
90240552;200
90240590;200
90030080;200
90240551;200
90240550;200
90010110;200
90820080;200
90150071;200
91030280;200
90240020;200
91530030;200
90200260;200
90150070;200
90810970;200
91510090;200
90880110;200
91720114;200
91510120;200
91530520;200
91120070;200
90470480;200
90240510;200
91720000;200
90550051;200
90230061;200
90230060;200
91180531;200
90820100;200
91710182;200
91755032;200
91710191;200
90690443;200
91440040;200
91710161;200
91360120;200
91440762;200
91570001;200
91750120;200
91710151;200
03108010;200
04065000;200
08030000;200
04476240;200
04065901;200
04065900;200
04082904;200
01134901;200
02996160;200
04083001;200
04082005;200
04077907;200
04774020;200
04082905;200
01134000;200
04083000;200
04082004;200
04077913;200
04082902;200
01133000;200
04082003;200
04077900;200
08081070;200
04082907;200
04082002;200
04077023;200
04082903;200
04093901;200
04082001;200
04077022;200
05798000;200
04082908;200
04083902;200
04082000;200
04077021;200
04522906;200
04083900;200
04082901;200
02325514;200
02987270;200
05508135;200
05508260;200
08390246;200
02987295;200
02325535;200
02325532;200
02325529;200
08390241;200
04676115;200
02987290;200
02325526;200
05508170;200
20941560;200
23548042;200
21863550;200
21041060;200
23575070;200
21041020;200
23587520;200
23097580;200
23548096;200
21755410;200
23028000;200
23560363;200
23560366;200
23548244;200
20771590;200
21040901;200
21670000;200
21012350;200
21250392;200
23515161;200
21040150;200
21852002;200
21220203;200
22790640;200
23547395;200
21241051;200
23078001;200
21730230;200
23570030;200
21040970;200
21660001;200
20930900;200
21250391;200
23510152;200
23065481;200
21725001;200
22775520;200
20911358;200
