cep;logradouro;complemento;bairro;localidade;uf;estado;regiao;ibge;gia;ddd;siafi
04877265;Rua A;;Cidade Luz;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107
40140095;Rua A;(Mro Gavazza);Barra;Salvador;BA;Bahia;Nordeste;2927408;;71;3849
30451722;Rua E;;Alpes;Belo Horizonte;MG;Minas Gerais;Sudeste;3106200;;31;4123
20535050;Rua D;;Alto da Boa Vista;Rio de Janeiro;RJ;Rio de Janeiro;Sudeste;3304557;;21;6001
04877115;Rua C;;Cidade Luz;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107
40140105;Rua C;(Mro Gavazza);Barra;Salvador;BA;Bahia;Nordeste;2927408;;71;3849
91755300;Rua H;(Vl Nova Ipanema);Aberta dos Morros;Porto Alegre;RS;Rio Grande do Sul;Sul;4314902;;51;8801
30451728;Rua F;;Alpes;Belo Horizonte;MG;Minas Gerais;Sudeste;3106200;;31;4123
20535060;Rua E;;Alto da Boa Vista;Rio de Janeiro;RJ;Rio de Janeiro;Sudeste;3304557;;21;6001
04877278;Rua C;(Próximo Rua B);Cidade Luz;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107
41299060;Rua A;(Lot N Cristalina);Boca da Mata de Valéria;Salvador;BA;Bahia;Nordeste;2927408;;71;3849
91755450;Rua J;(Vl Nova Ipanema);Aberta dos Morros;Porto Alegre;RS;Rio Grande do Sul;Sul;4314902;;51;8801
30530450;Rua A;;Alto dos Pinheiros;Belo Horizonte;MG;Minas Gerais;Sudeste;3106200;;31;4123
20535070;Rua F;;Alto da Boa Vista;Rio de Janeiro;RJ;Rio de Janeiro;Sudeste;3304557;;21;6001
04877284;Rua D;;Cidade Luz;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107
41299100;Rua B;(Lot N Cristalina);Boca da Mata de Valéria;Salvador;BA;Bahia;Nordeste;2927408;;71;3849
91755460;Rua K;(Vl Nova Ipanema);Aberta dos Morros;Porto Alegre;RS;Rio Grande do Sul;Sul;4314902;;51;8801
31998343;Rua A;;Beija Flor;Belo Horizonte;MG;Minas Gerais;Sudeste;3106200;;31;4123
22755058;Rua D;;Anil;Rio de Janeiro;RJ;Rio de Janeiro;Sudeste;3304557;;21;6001
04236250;Rua H;;Cidade Nova Heliópolis;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107
41299130;Rua C;(Lot N Cristalina);Boca da Mata de Valéria;Salvador;BA;Bahia;Nordeste;2927408;;71;3849
91755470;Rua L;(Vl Nova Ipanema);Aberta dos Morros;Porto Alegre;RS;Rio Grande do Sul;Sul;4314902;;51;8801
30514466;Rua A;;Betânia;Belo Horizonte;MG;Minas Gerais;Sudeste;3106200;;31;4123
22755056;Rua E;;Anil;Rio de Janeiro;RJ;Rio de Janeiro;Sudeste;3304557;;21;6001
08475540;Rua D;;Cidade Tiradentes;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107
41299120;Rua D;(Lot N Cristalina);Boca da Mata de Valéria;Salvador;BA;Bahia;Nordeste;2927408;;71;3849
91755480;Rua M;(Vl Nova Ipanema);Aberta dos Morros;Porto Alegre;RS;Rio Grande do Sul;Sul;4314902;;51;8801
30514467;Rua B;;Betânia;Belo Horizonte;MG;Minas Gerais;Sudeste;3106200;;31;4123
05183340;Rua D;;Conjunto Residencial Alpes do Jaraguá;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107
41299110;Rua E;(Lot N Cristalina);Boca da Mata de Valéria;Salvador;BA;Bahia;Nordeste;2927408;;71;3849
22753520;Rua G;;Anil;Rio de Janeiro;RJ;Rio de Janeiro;Sudeste;3304557;;21;6001
91755314;Rua N;(R Rodrigo Pavan);Aberta dos Morros;Porto Alegre;RS;Rio Grande do Sul;Sul;4314902;;51;8801
30514468;Rua C;;Betânia;Belo Horizonte;MG;Minas Gerais;Sudeste;3106200;;31;4123
05183360;Rua F;;Conjunto Residencial Alpes do Jaraguá;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107
22765165;Rua M;;Anil;Rio de Janeiro;RJ;Rio de Janeiro;Sudeste;3304557;;21;6001
